,yaw,yaw deg,acc angle dot,gyro angle dot,acc angle cross,gyro angle cross,uva,uva cali,azimuth ,az deg,acc dot deg,acc cross deg,gyro dot deg
2817,-3.071042275,-175.9577611,1.246241333,0.648372007,1.246241333,0.648372007,29,0.087,3.071042275,175.9577611,71.40436865,71.40436865,37.14897953
2818,-1.47056193,-84.2569921,1.645761558,2.066704903,1.495831096,1.074887751,151,1.3558,1.47056193,84.2569921,94.29519135,85.70480865,118.4134684
2819,-0.36837115,-21.10611222,1.319768441,2.428146207,1.319768441,0.713446446,59,0.399,0.36837115,21.10611222,75.61716158,75.61716158,139.1225297
2820,-0.041787575,-2.394251674,1.103969612,2.416084747,1.103969612,0.725507907,26,0.0558,0.041787575,2.394251674,63.2527995,63.2527995,138.4314589
2821,-0.622136405,-35.64579028,1.469512483,2.103848676,1.469512483,1.037743978,14,-0.069,0.622136405,35.64579028,84.19686322,84.19686322,120.5416498
2822,-0.84671445,-48.51316442,1.481376295,1.167850163,1.481376295,1.167850163,69,0.503,0.84671445,48.51316442,84.87660959,84.87660959,66.91288543
2823,0.334075919,19.14114019,0.971106197,1.503527608,0.971106197,1.503527608,35,0.1494,5.949109388,340.8588598,55.64028653,55.64028653,86.14578635
2824,2.801699662,160.5255661,1.061172535,2.675644828,1.061172535,0.465947826,26,0.0558,3.481485645,199.4744339,60.80070762,60.80070762,153.3031561
2825,-1.645414198,-94.27528907,1.642333016,2.050485857,1.499259638,1.091106796,102,0.8462,1.645414198,94.27528907,94.09875037,85.90124963,117.4841856
2826,-0.810961818,-46.46468954,1.578250233,2.921138952,1.563342421,0.220453702,60,0.4094,0.810961818,46.46468954,90.42707737,89.57292263,167.3689333
2827,-0.573953788,-32.88512969,1.399629999,1.172330985,1.399629999,1.172330985,39,0.191,0.573953788,32.88512969,80.19289181,80.19289181,67.16961763
2828,-0.507582571,-29.08233908,1.347891925,1.705517461,1.347891925,1.436075193,59,0.399,0.507582571,29.08233908,77.22851854,77.22851854,97.71895238
2829,0.031810218,1.822591246,1.130802609,1.775630961,1.130802609,1.365961692,31,0.1078,6.251375089,358.1774088,64.79021694,64.79021694,101.7361601
2830,0.239854482,13.74264951,1.01430852,1.35043813,1.01430852,1.35043813,14,-0.069,6.043330825,346.2573505,58.1155973,58.1155973,77.37440534
2831,-0.259905164,-14.89146898,1.288213898,1.216811159,1.288213898,1.216811159,24,0.035,0.259905164,14.89146898,73.80921949,73.80921949,69.71814389
2832,-0.895760218,-51.32327996,1.557944906,2.222512975,1.557944906,0.919079679,25,0.0454,0.895760218,51.32327996,89.26366783,89.26366783,127.3406134
2833,-2.010840135,-115.212653,1.635469977,1.835326898,1.506122677,1.306265756,78,0.5966,2.010840135,115.212653,93.70552721,86.29447279,105.1564853
2834,2.082007626,119.2902499,0.70262621,2.432551345,0.70262621,0.709041308,51,0.3158,4.201177681,240.7097501,40.25751642,40.25751642,139.3749255
2835,-0.035909079,-2.057438654,1.174513122,2.213936169,1.174513122,0.927656485,21,0.0038,0.035909079,2.057438654,67.29464489,67.29464489,126.8491986
2836,-0.989457874,-56.6917602,1.547482883,2.286586397,1.547482883,0.855006257,28,0.0766,0.989457874,56.6917602,88.66423805,88.66423805,131.01175
2837,-1.511499604,-86.60254807,1.669757039,2.658535018,1.471835615,0.483057636,96,0.7838,1.511499604,86.60254807,95.67003114,84.32996886,152.3228362
2838,-2.440421647,-139.8258606,1.497772458,2.737576793,1.497772458,0.404015861,188,1.7406,2.440421647,139.8258606,85.81604053,85.81604053,156.8515963
2839,1.917302351,109.8533328,0.655005667,1.743892126,0.655005667,1.397700527,89,0.711,4.365882956,250.1466672,37.52906025,37.52906025,99.91765877
2840,0.471881181,27.03680013,0.874489785,1.079867171,0.874489785,1.079867171,30,0.0974,5.811304126,332.9631999,50.10457389,50.10457389,61.87183132
2841,-0.256892415,-14.71885117,1.309094823,2.809732765,1.309094823,0.331859888,15,-0.0586,0.256892415,14.71885117,75.00560834,75.00560834,160.985829
2842,-0.681070028,-39.02243817,1.464149645,2.505910795,1.464149645,0.635681859,21,0.0038,0.681070028,39.02243817,83.88959521,83.88959521,143.5781124
2843,-1.010087957,-57.87377685,1.600031087,1.58723385,1.541561567,1.554358803,56,0.3678,1.010087957,57.87377685,91.67502835,88.32497165,90.94180072
2844,-0.971815653,-55.68093536,1.62051788,2.386159901,1.521074774,0.755432753,29,0.087,0.971815653,55.68093536,92.84883513,87.15116487,136.7168916
2845,-0.56991487,-32.65371672,1.370567859,2.117312611,1.370567859,1.024280042,19,-0.017,0.56991487,32.65371672,78.52775384,78.52775384,121.3130765
2846,-0.434747776,-24.90921271,1.302369745,2.397021463,1.302369745,0.744571191,33,0.1286,0.434747776,24.90921271,74.62028978,74.62028978,137.3392132
2847,0.855484861,49.01567195,0.672470032,1.418350576,0.672470032,1.418350576,18,-0.0274,5.427700447,310.9843281,38.52969466,38.52969466,81.26550189
2848,2.231035052,127.8288925,0.777639302,2.620737429,0.777639302,0.520855225,6,-0.1522,4.052150255,232.1711075,44.55544998,44.55544998,150.1571939
2849,1.335377304,76.51148359,0.499978969,2.340884545,0.499978969,0.800708109,12,-0.0898,4.947808003,283.4885164,28.64668477,28.64668477,134.1228047
2850,0.258761554,14.82594493,0.947937376,1.726560838,0.947937376,1.415031815,11,-0.1002,6.024423753,345.1740551,54.31281086,54.31281086,98.9246491
2851,-0.881067856,-50.4814696,1.578408968,2.313497614,1.563183685,0.828095039,15,-0.0586,0.881067856,50.4814696,90.43617222,89.56382778,132.5536492
2852,-1.972270322,-113.0027655,1.649097056,2.650882721,1.492495598,0.490709933,119,1.023,1.972270322,113.0027655,94.48630131,85.51369869,151.8843919
2853,2.689891181,154.119412,1.042770357,1.240991307,1.042770357,1.240991307,101,0.8358,3.593294126,205.880588,59.74634048,59.74634048,71.10356428
2854,2.083503871,119.3759784,0.706895057,1.097181628,0.706895057,1.097181628,39,0.191,4.199681436,240.6240216,40.50210335,40.50210335,62.86387663
2855,1.336533142,76.57770821,0.509087056,1.191282721,0.509087056,1.191282721,23,0.0246,4.946652165,283.4222918,29.16853973,29.16853973,68.25547214
2856,1.119326928,64.13270888,0.673412451,2.759641467,0.673412451,0.381951187,9,-0.121,5.163858379,295.8672911,38.58369129,38.58369129,158.115809
2857,-3.050858637,-174.8013238,1.212864159,1.149100872,1.212864159,1.149100872,13,-0.0794,3.050858637,174.8013238,69.49199742,69.49199742,65.8386302
2858,-2.724948477,-156.1280471,1.453352105,1.460444019,1.453352105,1.460444019,45,0.2534,2.724948477,156.1280471,83.27094174,83.27094174,83.67727849
2859,-1.735705749,-99.44861389,1.599066685,2.419565591,1.542525969,0.722027063,217,2.0422,1.735705749,99.44861389,91.6197722,88.3802278,138.6308966
2860,-0.074772022,-4.284121284,1.158535532,2.001266882,1.158535532,1.140325771,90,0.7214,0.074772022,4.284121284,66.37919638,66.37919638,114.664146
2861,2.108062008,120.783056,0.717755762,2.051720136,0.717755762,1.089872518,33,0.1286,4.175123299,239.216944,41.12437589,41.12437589,117.5549045
2862,-2.402344959,-137.6442271,1.558047816,2.32578298,1.558047816,0.815809673,63,0.4406,2.402344959,137.6442271,89.26956413,89.26956413,133.2575488
2863,-1.278441268,-73.24928903,1.655053991,2.444150281,1.486538662,0.697442373,137,1.2102,1.278441268,73.24928903,94.82760856,85.17239144,140.0394956
2864,-0.95461027,-54.69513957,1.557310734,1.660581217,1.557310734,1.481011437,97,0.7942,0.95461027,54.69513957,89.22733246,89.22733246,95.14429527
2865,-0.521961913,-29.90621468,1.452083073,0.988494309,1.452083073,0.988494309,47,0.2742,0.521961913,29.90621468,83.1982316,83.1982316,56.63655199
2866,-1.109892029,-63.59212898,1.612339201,1.017037957,1.529253452,1.017037957,58,0.3886,1.109892029,63.59212898,92.38023137,87.61976863,58.27198252
2867,-1.309499856,-75.02881501,1.702670702,2.634287651,1.438921952,0.507305002,68,0.4926,1.309499856,75.02881501,97.55584511,82.44415489,150.9335644
2868,-1.916136216,-109.7865181,1.644319522,1.928610618,1.497273132,1.212982036,36,0.1598,1.916136216,109.7865181,94.21256878,85.78743122,110.5012487
2869,2.832601973,162.2961381,1.047987035,1.632339021,1.047987035,1.509253633,7,-0.1418,3.450583334,197.7038619,60.04523409,60.04523409,93.52613663
2870,1.225476631,70.21463883,0.548784627,1.895435693,0.548784627,1.246156961,13,-0.0794,5.057708677,289.7853612,31.443043,31.443043,108.6004655
2871,0.052454173,3.005402707,1.157528331,1.13087774,1.157528331,1.13087774,11,-0.1002,6.230731135,356.9945973,66.32148806,66.32148806,64.79452164
2872,-1.020976142,-58.4976239,1.571308252,1.65836279,1.570284401,1.483229864,26,0.0558,1.020976142,58.4976239,90.02933116,89.97066884,95.01718876
2873,-1.621997365,-92.93360338,1.721910662,2.667894497,1.419681992,0.473698157,98,0.8046,1.621997365,92.93360338,98.65821362,81.34178638,152.8590949
2874,-2.39919397,-137.4636887,1.507075232,2.647846029,1.507075232,0.493746625,154,1.387,2.39919397,137.4636887,86.34905022,86.34905022,151.7104023
2875,3.040130988,174.1866748,1.174467985,2.615013933,1.174467985,0.526578721,134,1.179,3.243054319,185.8133252,67.29205871,67.29205871,149.8292617
2876,2.761356999,158.2141018,1.057779925,1.306483121,1.057779925,1.306483121,59,0.399,3.521828308,201.7858982,60.60632538,60.60632538,74.85596884
2877,2.679726568,153.5370226,1.025539509,1.858710014,1.025539509,1.28288264,30,0.0974,3.603458739,206.4629774,58.75908558,58.75908558,106.4962391
2878,2.272075518,130.1803379,0.79569667,1.122747456,0.79569667,1.122747456,14,-0.069,4.011109789,229.8196621,45.59006099,45.59006099,64.32869068
