,yaw,acc angle dot,gyro angle dot,acc angle cross,gyro angle cross,uva,uva cali,accdot deg,azimuth,azi deg
5470,-0.981478243,1.628957252,1.988876384,1.512635402,1.152716269,36,0.1598,93.33237554,0.981478243,56.23456103
5471,2.177555387,0.867408564,1.273946378,0.867408564,1.273946378,30,0.0974,49.69884981,4.105629921,235.2352667
5472,,,1.57228047,,1.569312184,62,0.4302,0,0,0
5473,,,1.703034515,,1.438558139,91,0.7318,0,0,0
5474,,,0.847992224,,0.847992224,54,0.347,0,0,0
5475,,,2.009653034,,1.13193962,38,0.1806,0,0,0
5476,0.023807547,1.874577103,0.46705727,1.267015551,0.46705727,40,0.2014,107.4053564,6.25937776,358.635928
5477,-0.195255205,1.652287763,2.860823415,1.48930489,0.280769239,22,0.0142,94.66911537,0.195255205,11.18729918
5478,,,1.583984146,,1.557608508,37,0.1702,0,0,0
5479,-0.227088057,1.816790916,2.25119908,1.324801737,0.890393574,22,0.0142,104.0944518,0.227088057,13.01118725
5480,-0.885408419,1.342474806,1.855416054,1.342474806,1.2861766,17,-0.0378,76.91814049,0.885408419,50.73016558
5481,0.010596251,1.830933667,1.113813556,1.310658987,1.113813556,26,0.0558,104.9047717,6.272589056,359.3928795
5482,,,0.187884363,,0.187884363,23,0.0246,0,0,0
5483,-2.295372402,1.914250117,2.889444329,1.227342537,0.252148325,45,0.2534,109.6784526,2.295372402,131.515151
5484,,,2.777310218,,0.364282435,21,0.0038,0,0,0
5485,,,0.694641925,,0.694641925,26,0.0558,0,0,0
5486,,,1.204213161,,1.204213161,22,0.0142,0,0,0
5487,,,1.176873787,,1.176873787,21,0.0038,0,0,0
5488,,,1.653143824,,1.488448829,20,-0.0066,0,0,0
5489,,,1.715789258,,1.425803396,122,1.0542,0,0,0
5490,0.864755623,1.615967952,2.074064599,1.525624702,1.067528054,43,0.2326,92.58814346,5.418429684,310.4531525
5491,-0.948280256,1.285082566,1.536108518,1.285082566,1.536108518,23,0.0246,73.62980737,0.948280256,54.33245647
5492,,,0.964737627,,0.964737627,78,0.5966,0,0,0
5493,,,1.804073908,,1.337518745,30,0.0974,0,0,0
5494,-0.104515843,1.688060093,1.537004536,1.453532561,1.537004536,23,0.0246,96.71871888,0.104515843,5.988316719
5495,,,1.149793709,,1.149793709,45,0.2534,0,0,0
5496,,,0.15102488,,0.15102488,83,0.6486,0,0,0
5497,,,0.159766635,,0.159766635,46,0.2638,0,0,0
5498,,,1.048289569,,1.048289569,78,0.5966,0,0,0
5499,-0.207231145,2.064410701,1.034543983,1.077181953,1.034543983,39,0.191,118.2820203,0.207231145,11.87346997
5500,,,1.931915043,,1.209677611,31,0.1078,0,0,0
5501,,,1.260443912,,1.260443912,15,-0.0586,0,0,0
5502,,,0.982706594,,0.982706594,36,0.1598,0,0,0
5503,,,2.747152579,,0.394440075,18,-0.0274,0,0,0
5504,0.811927218,1.360488296,0.750839107,1.360488296,0.750839107,28,0.0766,77.95023742,5.47125809,313.4799972
5505,,,0.713727142,,0.713727142,18,-0.0274,0,0,0
5506,,,2.259378215,,0.882214439,64,0.451,0,0,0
5507,,,1.379605128,,1.379605128,33,0.1286,0,0,0
5508,,,0.854971183,,0.854971183,146,1.3038,0,0,0
5509,-0.736484608,0.695442101,1.152144696,0.695442101,1.152144696,86,0.6798,39.84589731,0.736484608,42.19745972
5510,-2.125353094,1.757104387,0.832115554,1.384488267,0.832115554,114,0.971,100.6746655,2.125353094,121.7737623
5511,-0.492584296,1.781738877,1.359290851,1.359853777,1.359290851,55,0.3574,102.0861178,0.492584296,28.2230012
5512,,,2.549457042,,0.592135611,29,0.087,0,0,0
5513,2.229248008,0.468390671,2.638276997,0.468390671,0.503315657,39,0.191,26.83680862,4.053937299,232.2734977
5514,0.749906771,1.528117641,1.954680005,1.528117641,1.186912649,89,0.711,87.55469143,5.533278536,317.033507
5515,,,2.011099715,,1.130492938,82,0.6382,0,0,0
5516,,,1.130555809,,1.130555809,41,0.2118,0,0,0
5517,,,2.660805375,,0.480787279,33,0.1286,0,0,0
5518,2.900129103,1.071950506,1.472277926,1.071950506,1.472277926,13,-0.0794,61.41823985,3.383056204,193.8348424
5519,,,2.321793052,,0.819799601,31,0.1078,0,0,0
5520,1.295902117,0.674353259,2.127681245,0.674353259,1.013911409,25,0.0454,38.63759561,4.98728319,285.750278
5521,,,2.155411363,,0.986181291,36,0.1598,0,0,0
5522,,,1.27028051,,1.27028051,42,0.2222,0,0,0
5523,,,2.183632007,,0.957960646,47,0.2742,0,0,0
5524,2.551177038,1.005441273,2.42529535,1.005441273,0.716297304,149,1.335,57.60754148,3.732008269,213.8283229
5525,,,2.422110601,,0.719482053,59,0.399,0,0,0
5526,-2.277120361,1.982589631,1.762752737,1.159003023,1.378839917,59,0.399,113.5940184,2.277120361,130.4693861
5527,-0.363637944,0.991780945,0.43917332,0.991780945,0.43917332,47,0.2742,56.82486237,0.363637944,20.83491949
5528,-0.903223954,1.680413408,1.343976783,1.461179246,1.343976783,27,0.0662,96.2805961,0.903223954,51.7509205
5529,,,1.455517757,,1.455517757,32,0.1182,0,0,0
5530,,,0.987621052,,0.987621052,36,0.1598,0,0,0
5531,3.003922329,0.934815139,0.487661769,0.934815139,0.487661769,94,0.763,53.56096208,3.279262978,187.8879285
5532,,,2.176691619,,0.964901034,137,1.2102,0,0,0
5533,,,2.176842375,,0.964750279,45,0.2534,0,0,0
