lat,long,seconds,accel-x,accel-y,accel-z,gyro-x,gyro-y,gyro-z,mag-x,mag-y,mag-z,uva,alt,,,,,,,,,,,,,,
3028.66,9241.61,29,0.263199341,-0.96706377,-0.104002136,-9.841926,5.0048864,-35.9955092,-3899.069236,-41956.96499,-20340.4685,13,25.1,,,,,,,,,,,,,,
3028.66,9241.61,30,-0.120589722,-0.993430957,-0.009763855,4.0740996,3.2653832,15.2282824,7316.140514,-43153.25403,-22882.58271,14,25,,,,,,,,,,,,,,
3028.66,9241.61,31,-0.091292847,-1.004173145,-0.00390448,-8.1481992,9.5672676,-6.0730024,3876.809524,-41807.42886,-22733.04658,9,25,,,,,,,,,,,,,,
3028.66,9241.61,33,-0.033675659,-1.01393877,-0.068357605,10.5438308,7.9040584,-8.087164,5222.634694,-41657.89273,-22134.90206,7,25,,,,,,,,,,,,,,
3028.66,9241.61,34,-0.040023315,-1.004661426,-0.03124823,7.8125056,-5.8136028,9.0179508,5372.170824,-41807.42886,-20789.07689,9,25,,,,,,,,,,,,,,
3028.66,9241.61,35,-0.020980347,-1.004173145,-0.037107605,-4.6081576,6.5460252,-11.7645348,5222.634694,-41209.28434,-22583.51045,8,24.9,,,,,,,,,,,,,,
3028.66,9241.61,36,-0.040999878,-0.997825488,-0.004392761,1.831056,-8.5144104,-3.3416772,4474.954044,-43153.25403,-22583.51045,13,24.9,,,,,,,,,,,,,,
3028.66,9241.61,37,-0.076156128,-0.969505176,-0.066892761,-2.3193376,4.882816,17.623914,8362.893424,-41956.96499,-25873.30531,12,24.9,,,,,,,,,,,,,,
3028.66,9241.61,38,-0.066390503,-0.923606738,-0.108396667,-15.0146592,6.2866256,-22.8271648,8961.037944,-42555.10951,-21536.75754,6,24.9,,,,,,,,,,,,,,
3028.66,9241.61,39,0.042496216,-0.945091113,-0.089353699,-56.6559244,-36.5143084,44.6930252,-11.12985563,-43003.7179,-22733.04658,7,24.8,,,,,,,,,,,,,,
3028.66,9241.61,40,-0.027328003,-1.048606738,0.03125177,-8.2550108,18.2800424,34.6985112,4474.954044,-43601.86242,-18396.49881,12,24.8,,,,,,,,,,,,,,
3028.66,9241.61,41,-0.06541394,-1.06862627,0.036134583,6.3629196,10.9558184,-34.866358,7316.140514,-43153.25403,-19592.78785,5,24.8,,,,,,,,,,,,,,
3028.66,9241.61,42,0.007339966,-0.938743457,0.01562677,-14.3127544,-2.517702,11.7187584,6867.532124,-44499.0792,-19293.71559,4,24.8,,,,,,,,,,,,,,
3028.66,9241.61,43,-0.077620972,-0.988548145,0.00781427,14.1601664,5.2795448,-26.9470408,7914.285034,-41807.42886,-24228.40788,5,24.7,,,,,,,,,,,,,,
3028.66,9241.61,44,-0.016585815,-0.941673145,-0.041013855,-8.4075988,-8.087164,21.0113676,6717.995994,-43601.86242,-22882.58271,3,24.7,,,,,,,,,,,,,,
3028.66,9241.61,45,-0.086898315,-0.997337207,-0.096677917,12.3291104,5.4016152,6.256108,7017.068254,-39713.92304,-24078.87175,5,24.7,,,,,,,,,,,,,,
3028.66,9241.61,46,-0.054183472,-1.012473926,-0.024900574,-16.6473508,-5.187992,5.1574744,3876.809524,-44499.0792,-20490.00463,5,24.7,,,,,,,,,,,,,,
