,yaw,acc angle dot,gyro angle dot,acc angle cross,gyro angle cross
2913,2.819976318920843,2.507451632478909,0.9046778281710185,0.6341410211108843,0.9046778281710183
2914,0.8198895609126793,1.642634175686184,0.7045809981459655,1.4989584779036083,0.7045809981459654
2915,0.5091580382963141,1.7712425520135622,0.8996196500346821,1.3703501015762307,0.8996196500346822
2916,1.3597128919872852,1.730617953241324,1.2475951353408898,1.4109747003484694,1.2475951353408903
2917,2.013078874659706,2.0536400837128665,1.2679358386284267,1.0879525698769263,1.2679358386284265
2918,0.7207872500247403,1.6769398644765214,0.9815027254848946,1.4646527891132726,0.9815027254848945
2919,0.08451917448315803,1.673121361099086,0.996330194411273,1.4684712924907077,0.9963301944112732
2920,-1.0787344198328972,1.9886097144679162,1.0900216129604838,1.1529829391218773,1.0900216129604836
2921,-2.8579824791112363,2.6856538092252866,0.6901936757596374,0.4559388443645068,0.6901936757596374
2922,1.5632870245608035,1.8687812566935609,0.8490732406425855,1.2728113968962325,0.8490732406425856
2923,0.8708597265513305,1.5776598593669149,1.402174570483242,1.5639327942228864,1.4021745704832413
2924,0.681856449318145,1.6876773171357724,1.454051951567845,1.4539153364540203,1.4540519515678447
2925,1.0571375983704137,1.7665063320586818,0.41125975348048704,1.3750863215311115,0.4112597534804869
2926,-2.9337403357868004,2.5011561971999847,0.50021297748362,0.6404364563898084,0.5002129774836205
2927,-0.7565577669358282,1.9034308260058115,1.407482031337348,1.2381618275839816,1.407482031337347
2928,0.30300411848994135,1.6324465655015648,1.0307134562442157,1.5091460880882284,1.0307134562442157
2929,0.39037679841020395,1.5553105623178494,1.4195071852844507,1.5553105623178478,1.4195071852844505
2930,-1.289440100254164,2.0879892782505647,1.188589044485595,1.0536033753392287,1.1885890444855953
2931,-2.8078540631614413,2.8441621733453224,0.668590991452842,0.29743048024447083,0.6685909914528417
2932,1.593286933021758,1.8857479216077986,1.4911252271601976,1.255844731981994,1.4911252271601978
2933,0.31731718867766734,1.5951204881954015,0.8121532526463631,1.5464721653943903,0.8121532526463628
2934,-0.5862464515514944,1.8292384806204605,0.3499377577524169,1.312354172969333,0.3499377577524173
2935,-1.3177574675445312,2.1653393148856033,1.614723034912659,0.9762533387041902,1.5268696186771362
2936,-2.0627938647197603,2.4552013354514073,0.8382543504630637,0.6863913181383858,0.8382543504630636
2937,2.814568355681263,2.446570864417917,1.8242741479065243,0.6950217891718766,1.317318505683269
2938,1.0520979167168887,1.7134264352686515,1.467410446921953,1.4281662183211412,1.467410446921952
2939,0.320105123996106,1.5506982189566876,1.3480121407127599,1.5506982189566902,1.348012140712761
2940,0.05208174030890536,1.5755787556832042,1.1308399938589673,1.5660138979065763,1.130839993858968
2941,-0.04949476349360462,1.650991773792322,2.4220178208505176,1.4906008797974688,0.719574832739276
2942,-0.09456241612467156,1.636735545698452,1.6482717959779725,1.5048571078913406,1.4933208576118209
2943,-0.6385110975139598,1.841528810404182,2.455397823523894,1.3000638431856113,0.6861948300658997
2944,-1.0740680484658267,2.0342826906896216,1.7375210640512988,1.1073099629001717,1.4040715895384936
2945,-1.1028932699918843,2.009215088254299,1.743886491178543,1.1323775653354944,1.39770616241125
