givenlat,deg,min,sec,lat,long,deg,min,sec,long,seconds,accel-x,accel-y,accel-z,gyro-x,gyro-y,gyro-z,mag-x,mag-y,mag-z
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,58,-0.145980347,-1.036887988,0.039552551,9.3231268,-5.7678264,-20.6298976,10157.32698,-44499.0792,-17798.35429
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,59,-0.133773315,-0.98268877,0.135743958,24.7497736,3.6926296,-35.85818,10306.86311,-44798.15146,-15106.70395
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,0,-0.136703003,-1.031028613,-0.016599792,-24.7802912,4.4860872,-7.5836236,9110.574074,-45097.22372,-16602.06525
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,1,-0.094222534,-1.004173145,-0.06249823,-14.7857772,-15.2588,-62.5763388,11054.54376,-44349.54307,-21387.22141
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,2,-0.121078003,-0.912864551,-0.120603699,14.0228372,7.858282,-26.550312,9409.646334,-43751.39855,-21536.75754
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,3,-0.066878784,-1.017356738,0.03125177,3.2501244,18.8293592,-27.6336868,6867.532124,-42555.10951,-20041.39624
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,4,-0.106917847,-1.032981738,-0.029783386,1.0528572,-4.6234164,23.727434,6717.995994,-40012.9953,-25125.62466
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,5,-0.072249878,-0.990012988,-0.088377136,3.9215116,2.5634784,1.90735,9110.574074,-43601.86242,-23331.1911
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,6,-0.009261597,-0.965110645,-0.157713074,8.8806216,6.7291308,-10.375984,5671.243084,-38218.56174,-24228.40788
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,7,-0.024886597,-1.036399707,-0.087400574,-10.986336,-3.1890892,-0.9460456,7166.604384,-41807.42886,-24976.08853
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,8,-0.023910034,-1.033958301,-0.020017761,5.8136028,11.367806,-5.0048864,5671.243084,-43003.7179,-22733.04658
