,yaw,acc angle dot,gyro angle dot,acc angle cross,gyro angle cross
6120,0.823237660643153,1.49317968709623,1.6336367195558184,1.4931796870962293,1.5079559340339757
6121,-0.1068792667704627,0.9521894216064282,1.6927903840651854,0.9521894216064286,1.448802269524608
6122,,,0.6782182208916432,,0.6782182208916434
6123,1.0662903259614926,0.9138671314164245,2.0962249839136264,0.9138671314164245,1.0453676696761671
6124,-0.28212502445985493,1.2822097286439236,1.6775555856434168,1.2822097286439234,1.464037067946376
6125,-1.9361028776288471,1.688659476462353,1.03824366114408,1.45293317712744,1.03824366114408
6126,-1.848388859817978,1.6571449836137577,1.4471907347752717,1.4844476699760363,1.4471907347752722
6127,0.5546237360007467,0.879501933107245,2.1966132360934054,0.8795019331072454,0.9449794174963879
6128,0.681951650014035,0.3107521786736962,1.3352346461352491,0.3107521786736961,1.3352346461352496
6129,2.8138504461714637,1.067174802986973,1.5803846918141446,1.0671748029869734,1.5612079617756613
6130,0.09981886120656161,0.8800975732893861,1.6563292785950003,0.8800975732893861,1.4852633749947932
6131,,,1.1471788173305573,,1.1471788173305575
6132,-0.2627113817737256,0.8736555790968762,1.4325110290289154,0.8736555790968766,1.432511029028917
6133,-1.9057542221801735,1.226243741955206,1.8934992944877547,1.2262437419552055,1.2480933591020382
6134,-0.8789867422849247,2.1716561459145702,0.8501590775542458,0.9699365076752232,0.8501590775542456
6135,-0.6980143656911103,1.2134138384442255,0.6768289218673934,1.2134138384442252,0.6768289218673931
6136,-1.4580931982853778,1.9110584529032602,1.5471944547651086,1.2305342006865332,1.5471944547651133
6137,-0.45911634693247266,1.0088114391796736,1.1026235869121115,1.0088114391796736,1.1026235869121117
6138,-3.075047191327172,1.472784713945814,0.29120722631976514,1.4727847139458148,0.29120722631976526
6139,0.9328851744464093,0.6723900158872019,1.2656508802754889,0.6723900158872022,1.2656508802754889
6140,-1.6145699310318884,2.391952214505389,1.4838107436401349,0.7496404390844044,1.4838107436401342
6141,-0.8915583762602485,1.8487631690016122,1.9765808334868566,1.2928294845881811,1.1650118201029367
6142,0.14271845067055647,0.950068063546118,0.7451776045626988,0.9500680635461182,0.745177604562699
6143,-2.0109935158004637,1.7591414303056747,1.800215603816518,1.3824512232841186,1.341377049773276
6144,-1.9113100883231473,1.663342792008841,1.5418463205051394,1.4782498615809523,1.541846320505139
6145,3.0522065715088504,1.1427201969907503,1.8892486242769655,1.1427201969907508,1.2523440293128276
6146,,,1.9144355475647163,,1.2271571060250768
6147,-0.9067178661429295,1.6747561670616515,0.8060839283150983,1.4668364865281425,0.8060839283150981
6148,2.0946423847514106,0.9646412010074661,1.0385772212203737,0.9646412010074662,1.0385772212203734
6149,2.6232833256133756,1.7056305884019738,2.5117408601742373,1.435962065187819,0.6298517934155556
6150,1.0690761936992677,0.4167525707645614,2.1448797126495958,0.41675257076456157,0.9967129409401977
6151,-0.8952416202254923,1.9880567715379867,2.244458994474727,1.1535358820518067,0.8971336591150664
6152,0.6600984858671566,0.8364192093672945,1.922455560630342,0.8364192093672946,1.2191370929594514
6153,1.891702310764491,1.0355579207286594,2.4410686557783197,1.0355579207286594,0.7005239978114735
6154,-2.900799184239908,1.750666737557688,1.8533279367276907,1.3909259160321052,1.2882647168621024
6155,-0.25919648676696305,1.314380820774303,0.6308123601491051,1.3143808207743035,0.6308123601491052
6156,-0.22232443136387667,1.3230317484797418,0.7432551292703966,1.3230317484797411,0.7432551292703966
6157,0.07265781736434243,0.8647088070794215,0.6975080321565451,0.8647088070794217,0.697508032156545
6158,1.2001576949706394,1.610111040343069,0.8368269871054379,1.531481613246722,0.8368269871054377
6159,,,1.6244788171972264,,1.5171138363925685
6160,2.182684243606842,1.310451658259971,2.119698411487277,1.310451658259971,1.0218942421025166
